Date,City,Average Daily Temperature
2015-01-01,Valencia,2.836986979166698
2015-01-02,Valencia,3.634833333333366
2015-01-03,Valencia,6.053802083333356
2015-01-04,Valencia,6.110000000000035
2015-01-05,Valencia,5.607312500000025
2015-01-06,Valencia,4.954033750000026
2015-01-07,Valencia,7.260932291666694
2015-01-08,Valencia,7.548875000000031
2015-01-09,Valencia,8.34615625000003
2015-01-10,Valencia,14.38560416666669
2015-01-11,Valencia,13.02359765625002
2015-01-12,Valencia,9.904166666666692
2015-01-13,Valencia,11.70416666666669
2015-01-14,Valencia,12.76666666666669
2015-01-15,Valencia,12.64918880208336
2015-01-16,Valencia,11.24045833333336
2015-01-17,Valencia,8.09583333333336
2015-01-18,Valencia,6.785416666666694
2015-01-19,Valencia,5.830061197916689
2015-01-20,Valencia,4.975000000000025
2015-01-21,Valencia,6.060373697916702
2015-01-22,Valencia,7.484229166666691
2015-01-23,Valencia,8.234875000000017
2015-01-24,Valencia,8.305951822916692
2015-01-25,Valencia,10.85229166666669
2015-01-26,Valencia,7.069187500000022
2015-01-27,Valencia,9.245333333333361
2015-01-28,Valencia,8.673856770833355
2015-01-29,Valencia,11.14676041666669
2015-01-30,Valencia,16.01650781250003
2015-01-31,Valencia,11.22497916666669
2015-02-01,Valencia,7.162083333333361
2015-02-02,Valencia,7.411625000000027
2015-02-03,Valencia,9.334511718750031
2015-02-04,Valencia,5.545833333333358
2015-02-05,Valencia,5.451562500000023
2015-02-06,Valencia,4.304548177083357
2015-02-07,Valencia,2.997916666666692
2015-02-08,Valencia,4.922687500000021
2015-02-09,Valencia,5.587541666666698
2015-02-10,Valencia,7.906250000000026
2015-02-11,Valencia,8.360312500000022
2015-02-12,Valencia,8.067541666666692
2015-02-13,Valencia,11.01666666666669
2015-02-14,Valencia,12.41875000000003
2015-02-15,Valencia,14.09592578125003
2015-02-16,Valencia,12.3264869791667
2015-02-17,Valencia,10.19316536458336
2015-02-18,Valencia,10.23268750000003
2015-02-19,Valencia,9.542854166666691
2015-02-20,Valencia,10.32237500000002
2015-02-21,Valencia,10.09375000000003
2015-02-22,Valencia,11.68750000000003
2015-02-23,Valencia,13.72916666666669
2015-02-24,Valencia,11.17083333333336
2015-02-25,Valencia,13.49689583333337
2015-02-26,Valencia,16.31750000000002
2015-02-27,Valencia,12.09917057291669
2015-02-28,Valencia,10.96043750000003
2015-03-01,Valencia,16.05350000000003
2015-03-02,Valencia,17.2997916666667
2015-03-03,Valencia,14.98125000000003
2015-03-04,Valencia,14.50495833333336
2015-03-05,Valencia,11.94666666666669
2015-03-06,Valencia,10.17835416666669
2015-03-07,Valencia,12.97260416666669
2015-03-08,Valencia,10.44341666666669
2015-03-09,Valencia,12.29616666666668
2015-03-10,Valencia,11.9101705729167
2015-03-11,Valencia,11.95388281250002
2015-03-12,Valencia,13.43125260416669
2015-03-13,Valencia,10.10781250000002
2015-03-14,Valencia,8.454019531250026
2015-03-15,Valencia,7.20706250000003
2015-03-16,Valencia,6.537479166666695
2015-03-17,Valencia,6.106002604166686
2015-03-18,Valencia,8.553022135416684
2015-03-19,Valencia,9.91547916666669
2015-03-20,Valencia,10.28727994791668
2015-03-21,Valencia,10.80139713541669
2015-03-22,Valencia,9.514790364583357
2015-03-23,Valencia,9.61704036458336
2015-03-24,Valencia,10.15410286458336
2015-03-25,Valencia,6.890766927083355
2015-03-26,Valencia,9.977190104166693
2015-03-27,Valencia,16.11102213541669
2015-03-28,Valencia,17.66850260416669
2015-03-29,Valencia,15.89584244791669
2015-03-30,Valencia,20.1152916666667
2015-03-31,Valencia,18.5903971354167
2015-04-01,Valencia,15.11025130208336
2015-04-02,Valencia,12.88147786458335
2015-04-03,Valencia,14.37643880208336
2015-04-04,Valencia,12.75725260416669
2015-04-05,Valencia,12.26247786458336
2015-04-06,Valencia,11.76795833333337
2015-04-07,Valencia,10.00439583333335
2015-04-08,Valencia,9.797024739583364
2015-04-09,Valencia,9.194667968750032
2015-04-10,Valencia,10.07235416666668
2015-04-11,Valencia,9.59195312500003
2015-04-12,Valencia,11.52098177083336
2015-04-13,Valencia,11.57573307291669
2015-04-14,Valencia,12.24879557291669
2015-04-15,Valencia,13.10983333333336
2015-04-16,Valencia,14.99887500000002
2015-04-17,Valencia,17.28402343750001
2015-04-18,Valencia,14.98129166666669
2015-04-19,Valencia,15.10475130208336
2015-04-20,Valencia,12.76470963541669
2015-04-21,Valencia,12.58408333333336
2015-04-22,Valencia,13.07164583333336
2015-04-23,Valencia,14.64104166666669
2015-04-24,Valencia,16.5205416666667
2015-04-25,Valencia,19.13039583333336
2015-04-26,Valencia,18.12166666666669
2015-04-27,Valencia,17.48837369791669
2015-04-28,Valencia,16.8666119791667
