Date,City,Average Temperature
2015-01-01,Madrid,-0.9733476562499751
2015-01-02,Madrid,-0.6035833333333164
2015-01-03,Madrid,0.6040312500000246
2015-01-04,Madrid,1.393270833333368
2015-01-05,Madrid,1.162459635416688
2015-01-06,Madrid,-0.98610416666664
2015-01-07,Madrid,-0.6871210937499797
2015-01-08,Madrid,-0.5624687499999818
2015-01-09,Madrid,1.544924479166691
2015-01-10,Madrid,0.9523229166666951
2015-01-11,Madrid,1.762674479166691
2015-01-12,Madrid,2.268708333333353
2015-01-13,Madrid,2.751166666666701
2015-01-14,Madrid,3.260541666666688
2015-01-15,Madrid,5.152070312500032
2015-01-16,Madrid,4.733458333333353
2015-01-17,Madrid,-0.2162916666666443
2015-01-18,Madrid,1.744625000000035
2015-01-19,Madrid,2.04092708333336
2015-01-20,Madrid,0.5557083333333518
2015-01-21,Madrid,0.9635625000000209
2015-01-22,Madrid,3.114541666666684
2015-01-23,Madrid,0.625458333333358
2015-01-24,Madrid,-0.9107916666666327
2015-01-25,Madrid,1.768854166666697
2015-01-26,Madrid,0.3635000000000256
2015-01-27,Madrid,2.308109375000017
2015-01-28,Madrid,1.7905416666667
2015-01-29,Madrid,5.458729166666697
2015-01-30,Madrid,11.0629166666667
2015-01-31,Madrid,7.202822916666712
2015-02-01,Madrid,4.439264322916699
2015-02-02,Madrid,3.853720052083361
2015-02-03,Madrid,5.032272135416693
2015-02-04,Madrid,1.166833333333374
2015-02-05,Madrid,1.458458333333359
2015-02-06,Madrid,0.2847500000000238
2015-02-07,Madrid,-1.082229166666641
2015-02-08,Madrid,-0.8455416666666409
2015-02-09,Madrid,4.500666666666699
2015-02-10,Madrid,7.073791666666696
2015-02-11,Madrid,5.505165364583358
2015-02-12,Madrid,6.872562500000025
2015-02-13,Madrid,10.39791666666668
2015-02-14,Madrid,11.61300000000002
2015-02-15,Madrid,9.56962500000003
2015-02-16,Madrid,10.11447786458336
2015-02-17,Madrid,8.102925781250022
2015-02-18,Madrid,7.548625000000025
2015-02-19,Madrid,8.515437500000024
2015-02-20,Madrid,8.562125000000025
2015-02-21,Madrid,9.482708333333358
2015-02-22,Madrid,10.00333333333336
2015-02-23,Madrid,8.664812500000034
2015-02-24,Madrid,9.025541666666697
2015-02-25,Madrid,9.136687500000038
2015-02-26,Madrid,10.89766666666671
2015-02-27,Madrid,7.586252604166698
2015-02-28,Madrid,9.472312500000024
2015-03-01,Madrid,14.51274869791669
2015-03-02,Madrid,15.20543750000002
2015-03-03,Madrid,14.29902083333335
2015-03-04,Madrid,11.40320833333336
2015-03-05,Madrid,7.646458333333354
2015-03-06,Madrid,9.47604166666669
2015-03-07,Madrid,10.99640234375003
2015-03-08,Madrid,12.74734114583335
2015-03-09,Madrid,12.88904166666669
2015-03-10,Madrid,11.03824609375003
2015-03-11,Madrid,10.80852343750002
2015-03-12,Madrid,10.31302213541669
2015-03-13,Madrid,8.818227864583358
2015-03-14,Madrid,6.096731770833355
2015-03-15,Madrid,4.919042968750027
2015-03-16,Madrid,4.033832031250026
2015-03-17,Madrid,7.256644531250025
2015-03-18,Madrid,7.022816406250023
2015-03-19,Madrid,9.018605468750023
2015-03-20,Madrid,8.551282552083356
2015-03-21,Madrid,8.275352864583354
2015-03-22,Madrid,8.704894531250025
2015-03-23,Madrid,8.141002604166694
2015-03-24,Madrid,8.30045833333336
2015-03-25,Madrid,4.905352864583354
2015-03-26,Madrid,6.978233072916687
2015-03-27,Madrid,12.61206250000002
2015-03-28,Madrid,12.88829166666669
2015-03-29,Madrid,12.61688541666669
2015-03-30,Madrid,12.65058333333336
2015-03-31,Madrid,14.55927083333336
2015-04-01,Madrid,13.35608463541669
2015-04-02,Madrid,12.3398151041667
2015-04-03,Madrid,13.53581119791669
2015-04-04,Madrid,13.1207916666667
2015-04-05,Madrid,12.96456510416669
2015-04-06,Madrid,13.16379296875002
2015-04-07,Madrid,10.89802213541669
2015-04-08,Madrid,10.18348177083337
2015-04-09,Madrid,8.322726562500028
2015-04-10,Madrid,10.31395833333336
2015-04-11,Madrid,11.76383593750003
2015-04-12,Madrid,13.60431380208337
2015-04-13,Madrid,14.82468619791669
2015-04-14,Madrid,16.81129296875003
2015-04-15,Madrid,13.23483593750002
2015-04-16,Madrid,12.13949739583336
2015-04-17,Madrid,14.40277083333336
2015-04-18,Madrid,12.15525000000004
2015-04-19,Madrid,10.13079296875002
2015-04-20,Madrid,13.07929166666669
2015-04-21,Madrid,15.2374049479167
2015-04-22,Madrid,14.3685846354167
2015-04-23,Madrid,13.95452734375003
2015-04-24,Madrid,15.41649348958336
2015-04-25,Madrid,14.17709765625003
2015-04-26,Madrid,10.93679166666669
2015-04-27,Madrid,9.994753906250033
2015-04-28,Madrid,12.51222395833338
2015-04-29,Madrid,14.69969531250003
2015-04-30,Madrid,15.38008333333337
2015-05-01,Madrid,17.49223567708335
2015-05-02,Madrid,19.60351302083336
2015-05-03,Madrid,19.2421315104167
2015-05-04,Madrid,20.96552083333335
2015-05-05,Madrid,15.69777083333337
2015-05-06,Madrid,13.72418750000003
2015-05-07,Madrid,18.72355598958336
2015-05-08,Madrid,18.07696484375002
2015-05-09,Madrid,18.73832682291671
2015-05-10,Madrid,21.94220052083336
2015-05-11,Madrid,23.35294531250004
2015-05-12,Madrid,23.63081250000003
2015-05-13,Madrid,25.99252864583336
2015-05-14,Madrid,24.89131250000003
2015-05-15,Madrid,18.10087500000003
2015-05-16,Madrid,18.2731666666667
2015-05-17,Madrid,20.37418750000002
2015-05-18,Madrid,20.88474218750002
2015-05-19,Madrid,17.84650000000002
2015-05-20,Madrid,14.86145833333335
2015-05-21,Madrid,15.04956250000003
2015-05-22,Madrid,14.6340416666667
2015-05-23,Madrid,16.35452083333336
2015-05-24,Madrid,17.42704166666669
2015-05-25,Madrid,18.94179557291669
2015-05-26,Madrid,19.05121223958335
2015-05-27,Madrid,19.41750000000003
2015-05-28,Madrid,21.63816666666669
2015-05-29,Madrid,20.94087500000002
